title,price_gbp,rating,in_stock,category,price_inr
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,True,Sequential Art,5516.6
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,True,Sequential Art,1717.54
This One Summer,19.49,4,True,Sequential Art,2056.19
The Nameless City (The Nameless City #1),38.16,4,True,Sequential Art,4025.88
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2,True,Sequential Art,5384.72
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3,True,Sequential Art,5317.2
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,True,Sequential Art,1435.86
"Pop Gun War, Volume 1: Gift",18.97,1,True,Sequential Art,2001.33
Patience,10.16,3,True,Sequential Art,1071.88
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,True,Sequential Art,1628.92
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,True,Sequential Art,5107.25
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,True,Sequential Art,4949.0
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,True,Sequential Art,4811.85
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2,True,Sequential Art,2101.56
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,2,True,Sequential Art,3077.44
I am a Hero Omnibus Volume 1,54.63,3,True,Sequential Art,5763.46
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,2,True,Sequential Art,2332.6
Danganronpa Volume 1,51.99,4,True,Sequential Art,5484.95
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,4,True,Sequential Art,3873.96
Camp Midnight,17.08,4,True,Sequential Art,1801.94
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,2,True,Sequential Art,4000.56
The Shadow Hero (The Shadow Hero),33.14,1,True,Sequential Art,3496.27
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,4,True,Sequential Art,4390.91
Batman: The Long Halloween (Batman),36.5,2,True,Sequential Art,3850.75
Batman: The Dark Knight Returns (Batman),15.38,5,True,Sequential Art,1622.59
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,4,True,Sequential Art,3939.37
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,1,True,Sequential Art,5686.45
Through the Woods,25.38,2,True,Sequential Art,2677.59
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,5,True,Sequential Art,1254.4
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,4,True,Sequential Art,3737.86
Robin War,47.82,3,True,Sequential Art,5045.01
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,2,True,Sequential Art,2688.14
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,2,True,Sequential Art,4050.14
